Filename,Resource location,Errors,Parse,"Evaluator(modules=ModuleManager(execution_count=249), entrypoint=['dnl:*', '*:main', 'reapermc:core'])",DeferHandler(runtime=<bolt.runtime.Runtime object at 0x000001C1FF731C90>),Lint,Transform,Optimize,Check,Serialize 
src\data\dnl\modules\entity\gallery_of_illusion_mob.bolt,dnl:entity/gallery_of_illusion_mob,0,14.114,18.229,48.190,0.003,81.504,0.003,0.022,0.037
src\data\dnl\modules\entity\gallery_of_illusion_mob.bolt,dnl:entity/gallery_of_illusion_pumpkin/hit_target,0,nan,nan,nan,nan,nan,0.003,0.165,0.355
src\data\dnl\modules\entity\gallery_of_illusion_mob.bolt,dnl:entity/gallery_of_illusion_pumpkin/init,0,nan,nan,nan,nan,nan,0.003,0.374,0.679
src\data\dnl\modules\entity\gray.bolt,dnl:entity/gray,0,1.016,0.596,1.440,0.003,3.116,0.003,0.008,0.013
src\data\dnl\modules\entity\gray.bolt,dnl:entity/gray/init,0,nan,nan,nan,nan,nan,0.003,0.023,0.041
src\data\dnl\modules\entity\gray.bolt,dnl:entity/gray/main,0,nan,nan,nan,nan,nan,0.003,0.215,0.351
src\data\dnl\modules\entity\gray.bolt,dnl:entity/gray/tamed,0,nan,nan,nan,nan,nan,0.003,0.032,0.065
src\data\dnl\modules\entity\gray.bolt,dnl:entity/gray/untamed,0,nan,nan,nan,nan,nan,0.003,0.081,0.134
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast,0,10.830,2.063,15.283,0.003,32.584,0.003,0.008,0.012
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/ability_blue/ice_drop,0,nan,nan,nan,nan,nan,0.003,0.144,0.233
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/ability_blue/ice_spawn,0,nan,nan,nan,nan,nan,0.003,0.119,0.216
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/ability_blue/main,0,nan,nan,nan,nan,nan,0.003,1.204,1.786
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/ability_red/fireball_spawn,0,nan,nan,nan,nan,nan,0.003,0.120,0.217
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/ability_red/fireball_type,0,nan,nan,nan,nan,nan,0.003,0.332,0.500
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/ability_red/main,0,nan,nan,nan,nan,nan,0.003,1.217,1.795
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/ability_yellow/main,0,nan,nan,nan,nan,nan,0.003,0.932,1.488
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/ability_yellow/mob_spawn,0,nan,nan,nan,nan,nan,0.004,0.906,0.959
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/ability_yellow/thunder_drop,0,nan,nan,nan,nan,nan,0.003,0.158,0.291
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/ability_yellow/thunder_on_flying_player,0,nan,nan,nan,nan,nan,0.003,0.386,0.678
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/ability_yellow/thunder_spawn,0,nan,nan,nan,nan,nan,0.003,0.121,0.220
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/attacker,0,nan,nan,nan,nan,nan,0.003,0.752,1.178
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/attacker/ability_activation,0,nan,nan,nan,nan,nan,0.003,0.190,0.263
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/attacker/ability_successful,0,nan,nan,nan,nan,nan,0.003,0.308,0.600
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/attacker/retreat,0,nan,nan,nan,nan,nan,0.003,0.320,0.620
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/attacker/teleport,0,nan,nan,nan,nan,nan,0.003,0.763,1.462
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/awoken,0,nan,nan,nan,nan,nan,0.003,0.365,0.507
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/core/init,0,nan,nan,nan,nan,nan,0.003,0.024,0.042
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/core/main,0,nan,nan,nan,nan,nan,0.003,0.329,0.547
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/core/pillar_summon,0,nan,nan,nan,nan,nan,0.003,0.604,1.060
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/core/pillar_summon/end,0,nan,nan,nan,nan,nan,0.003,0.265,0.492
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/core/reset,0,nan,nan,nan,nan,nan,0.003,0.611,1.200
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/core/retreat_ghast,0,nan,nan,nan,nan,nan,0.003,0.158,0.265
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/core/start,0,nan,nan,nan,nan,nan,0.003,0.167,0.298
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/core/stunned,0,nan,nan,nan,nan,nan,0.003,0.401,0.758
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/core/track_pillars,0,nan,nan,nan,nan,nan,0.003,0.300,0.579
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/core/track_pillars/pillar_1_destroyed,0,nan,nan,nan,nan,nan,0.003,0.154,0.245
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/core/track_pillars/pillar_2_destroyed,0,nan,nan,nan,nan,nan,0.003,0.152,0.245
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/core/track_pillars/pillar_3_destroyed,0,nan,nan,nan,nan,nan,0.003,0.155,0.246
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/core/track_pillars/pillar_4_destroyed,0,nan,nan,nan,nan,nan,0.003,0.157,0.246
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/death,0,nan,nan,nan,nan,nan,0.004,0.103,0.178
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/health_calculation,0,nan,nan,nan,nan,nan,0.003,0.311,0.520
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/hurt,0,nan,nan,nan,nan,nan,0.003,0.460,0.848
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/hurt/stunned_long,0,nan,nan,nan,nan,nan,0.003,0.160,0.245
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/init,0,nan,nan,nan,nan,nan,0.003,0.352,0.593
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/main,0,nan,nan,nan,nan,nan,0.003,0.444,0.759
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/particle/blue,0,nan,nan,nan,nan,nan,0.003,0.293,0.687
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/particle/red,0,nan,nan,nan,nan,nan,0.003,0.283,0.680
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/particle/yellow,0,nan,nan,nan,nan,nan,0.003,0.281,0.693
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/pillar_generator/main,0,nan,nan,nan,nan,nan,0.003,0.153,0.247
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/pillar_generator/spawn_pillar,0,nan,nan,nan,nan,nan,0.003,0.268,0.499
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/sleep,0,nan,nan,nan,nan,nan,0.003,0.227,0.340
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/stunned,0,nan,nan,nan,nan,nan,0.003,0.178,0.260
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/stunned/end,0,nan,nan,nan,nan,nan,0.003,0.406,0.584
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/stunned/init,0,nan,nan,nan,nan,nan,0.003,0.232,0.364
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/stunned/particles,0,nan,nan,nan,nan,nan,0.003,0.102,0.225
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/stunned_long,0,nan,nan,nan,nan,nan,0.003,0.165,0.241
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/stunned_long/init,0,nan,nan,nan,nan,nan,0.003,0.102,0.135
src\data\dnl\modules\entity\guardian_ghast.bolt,dnl:entity/guardian_ghast/stunned_long/particles,0,nan,nan,nan,nan,nan,0.003,0.101,0.225
src\data\dnl\modules\entity\hunter_bow.bolt,dnl:entity/hunter_bow,0,1.101,0.632,1.590,0.003,3.387,0.003,0.008,0.012
src\data\dnl\modules\entity\hunter_bow.bolt,dnl:entity/hunter_bow/check_hand,0,nan,nan,nan,nan,nan,0.003,0.080,0.128
src\data\dnl\modules\entity\hunter_bow.bolt,dnl:entity/hunter_bow/init,0,nan,nan,nan,nan,nan,0.003,0.044,0.078
src\data\dnl\modules\entity\hunter_bow.bolt,dnl:entity/hunter_bow/main,0,nan,nan,nan,nan,nan,0.003,0.171,0.278
src\data\dnl\modules\entity\hunter_bow.bolt,dnl:entity/hunter_bow/start_summoning,0,nan,nan,nan,nan,nan,0.003,0.131,0.228
src\data\dnl\modules\entity\hunter_bow.bolt,dnl:entity/hunter_bow/summon_hunter_ghost,0,nan,nan,nan,nan,nan,0.004,0.125,0.260
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost,0,3.624,4.443,9.522,0.003,24.281,0.003,0.008,0.013
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_player_tick/0,0,nan,nan,nan,nan,nan,0.003,0.120,0.204
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_player_tick/1,0,nan,nan,nan,nan,nan,0.003,0.121,0.211
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_player_tick/2,0,nan,nan,nan,nan,nan,0.003,0.119,0.202
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_player_tick/3,0,nan,nan,nan,nan,nan,0.003,0.121,0.205
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_player_tick/4,0,nan,nan,nan,nan,nan,0.003,0.118,0.203
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_player_tick/5,0,nan,nan,nan,nan,nan,0.003,0.118,0.205
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_player_tick/6,0,nan,nan,nan,nan,nan,0.003,0.118,0.203
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_player_tick/7,0,nan,nan,nan,nan,nan,0.003,0.118,0.205
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_player_tick/8,0,nan,nan,nan,nan,nan,0.003,0.119,0.208
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_player_tick/9,0,nan,nan,nan,nan,nan,0.003,0.120,0.207
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_set/0,0,nan,nan,nan,nan,nan,0.003,0.171,0.180
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_set/1,0,nan,nan,nan,nan,nan,0.003,0.166,0.163
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_set/2,0,nan,nan,nan,nan,nan,0.003,0.166,0.161
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_set/3,0,nan,nan,nan,nan,nan,0.003,0.166,0.164
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_set/4,0,nan,nan,nan,nan,nan,0.003,0.167,0.161
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_set/5,0,nan,nan,nan,nan,nan,0.003,0.168,0.162
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_set/6,0,nan,nan,nan,nan,nan,0.003,0.167,0.162
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_set/7,0,nan,nan,nan,nan,nan,0.003,0.167,0.166
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_set/8,0,nan,nan,nan,nan,nan,0.003,0.166,0.160
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_set/9,0,nan,nan,nan,nan,nan,0.003,0.167,0.161
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_sphere/0,0,nan,nan,nan,nan,nan,0.003,0.037,0.064
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_sphere/1,0,nan,nan,nan,nan,nan,0.004,0.037,0.064
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_sphere/2,0,nan,nan,nan,nan,nan,0.003,0.036,0.063
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_sphere/3,0,nan,nan,nan,nan,nan,0.003,0.037,0.063
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_sphere/4,0,nan,nan,nan,nan,nan,0.003,0.036,0.063
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_sphere/5,0,nan,nan,nan,nan,nan,0.003,0.036,0.063
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_sphere/6,0,nan,nan,nan,nan,nan,0.003,0.036,0.063
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_sphere/7,0,nan,nan,nan,nan,nan,0.003,0.037,0.063
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_sphere/8,0,nan,nan,nan,nan,nan,0.003,0.036,0.065
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_sphere/9,0,nan,nan,nan,nan,nan,0.003,0.036,0.063
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_visibility/0,0,nan,nan,nan,nan,nan,0.003,0.102,0.142
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_visibility/1,0,nan,nan,nan,nan,nan,0.003,0.101,0.141
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_visibility/2,0,nan,nan,nan,nan,nan,0.003,0.108,0.138
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_visibility/3,0,nan,nan,nan,nan,nan,0.003,0.101,0.139
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_visibility/4,0,nan,nan,nan,nan,nan,0.003,0.101,0.138
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_visibility/5,0,nan,nan,nan,nan,nan,0.003,0.101,0.141
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_visibility/6,0,nan,nan,nan,nan,nan,0.003,0.101,0.138
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_visibility/7,0,nan,nan,nan,nan,nan,0.003,0.101,0.138
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_visibility/8,0,nan,nan,nan,nan,nan,0.003,0.101,0.138
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/bossbar_visibility/9,0,nan,nan,nan,nan,nan,0.003,0.101,0.139
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/check_spawn,0,nan,nan,nan,nan,nan,0.003,0.111,0.182
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/core/check,0,nan,nan,nan,nan,nan,0.003,0.164,0.310
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/core/copy,0,nan,nan,nan,nan,nan,0.003,0.044,0.069
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/core/main,0,nan,nan,nan,nan,nan,0.003,0.057,0.091
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/core/reset,0,nan,nan,nan,nan,nan,0.003,0.035,0.058
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/core/setup,0,nan,nan,nan,nan,nan,0.004,0.146,0.266
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/core/tick,0,nan,nan,nan,nan,nan,0.003,0.134,0.230
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/core/trigger_reset,0,nan,nan,nan,nan,nan,0.003,0.047,0.072
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/death,0,nan,nan,nan,nan,nan,0.003,0.730,1.099
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/hurt,0,nan,nan,nan,nan,nan,0.003,0.153,0.268
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/init,0,nan,nan,nan,nan,nan,0.003,0.240,0.442
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/killed_with_broken_bow,0,nan,nan,nan,nan,nan,0.003,0.118,0.225
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/main,0,nan,nan,nan,nan,nan,0.003,0.962,1.504
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/phase_1/main,0,nan,nan,nan,nan,nan,0.003,0.058,0.083
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/phase_1/switch_weapon,0,nan,nan,nan,nan,nan,0.003,0.148,0.250
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/phase_2/init,0,nan,nan,nan,nan,nan,0.003,0.136,0.219
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/phase_2/main,0,nan,nan,nan,nan,nan,0.003,0.176,0.253
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/phase_2/switch_weapon,0,nan,nan,nan,nan,nan,0.003,0.140,0.252
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/reset,0,nan,nan,nan,nan,nan,0.003,0.124,0.265
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/set_bossbar,0,nan,nan,nan,nan,nan,0.003,0.491,0.720
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/spawn_gray,0,nan,nan,nan,nan,nan,0.003,0.101,0.201
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/switch_to_bow,0,nan,nan,nan,nan,nan,0.003,0.112,0.188
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/switch_to_strong_bow,0,nan,nan,nan,nan,nan,0.003,0.110,0.181
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/switch_to_strong_sword,0,nan,nan,nan,nan,nan,0.003,0.128,0.192
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/switch_to_sword,0,nan,nan,nan,nan,nan,0.003,0.128,0.192
src\data\dnl\modules\entity\hunter_ghost.bolt,dnl:entity/hunter_ghost/teleport,0,nan,nan,nan,nan,nan,0.003,0.105,0.211
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner,0,7.391,4.080,13.995,0.003,30.216,0.003,0.008,0.013
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_player_tick/0,0,nan,nan,nan,nan,nan,0.003,0.123,0.201
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_player_tick/1,0,nan,nan,nan,nan,nan,0.003,0.120,0.200
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_player_tick/2,0,nan,nan,nan,nan,nan,0.004,0.120,0.199
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_player_tick/3,0,nan,nan,nan,nan,nan,0.003,0.119,0.201
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_player_tick/4,0,nan,nan,nan,nan,nan,0.003,0.119,0.200
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_player_tick/5,0,nan,nan,nan,nan,nan,0.003,0.120,0.201
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_player_tick/6,0,nan,nan,nan,nan,nan,0.003,0.119,0.201
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_player_tick/7,0,nan,nan,nan,nan,nan,0.003,0.120,0.201
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_player_tick/8,0,nan,nan,nan,nan,nan,0.003,0.122,0.203
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_player_tick/9,0,nan,nan,nan,nan,nan,0.003,0.119,0.203
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_set/0,0,nan,nan,nan,nan,nan,0.003,0.178,0.164
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_set/1,0,nan,nan,nan,nan,nan,0.003,0.169,0.160
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_set/2,0,nan,nan,nan,nan,nan,0.003,0.168,0.161
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_set/3,0,nan,nan,nan,nan,nan,0.003,0.168,0.162
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_set/4,0,nan,nan,nan,nan,nan,0.003,0.169,0.160
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_set/5,0,nan,nan,nan,nan,nan,0.003,0.168,0.159
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_set/6,0,nan,nan,nan,nan,nan,0.003,0.170,0.159
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_set/7,0,nan,nan,nan,nan,nan,0.003,0.167,0.159
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_set/8,0,nan,nan,nan,nan,nan,0.003,0.167,0.158
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_set/9,0,nan,nan,nan,nan,nan,0.003,0.167,0.158
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_sphere/0,0,nan,nan,nan,nan,nan,0.003,0.037,0.066
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_sphere/1,0,nan,nan,nan,nan,nan,0.003,0.037,0.064
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_sphere/2,0,nan,nan,nan,nan,nan,0.003,0.038,0.063
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_sphere/3,0,nan,nan,nan,nan,nan,0.003,0.036,0.064
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_sphere/4,0,nan,nan,nan,nan,nan,0.003,0.037,0.064
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_sphere/5,0,nan,nan,nan,nan,nan,0.004,0.036,0.064
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_sphere/6,0,nan,nan,nan,nan,nan,0.003,0.036,0.063
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_sphere/7,0,nan,nan,nan,nan,nan,0.003,0.036,0.063
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_sphere/8,0,nan,nan,nan,nan,nan,0.003,0.039,0.063
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_sphere/9,0,nan,nan,nan,nan,nan,0.003,0.036,0.063
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_visibility/0,0,nan,nan,nan,nan,nan,0.003,0.102,0.142
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_visibility/1,0,nan,nan,nan,nan,nan,0.003,0.101,0.142
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_visibility/2,0,nan,nan,nan,nan,nan,0.003,0.100,0.143
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_visibility/3,0,nan,nan,nan,nan,nan,0.003,0.100,0.140
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_visibility/4,0,nan,nan,nan,nan,nan,0.003,0.100,0.140
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_visibility/5,0,nan,nan,nan,nan,nan,0.003,0.100,0.140
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_visibility/6,0,nan,nan,nan,nan,nan,0.003,0.103,0.140
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_visibility/7,0,nan,nan,nan,nan,nan,0.003,0.100,0.140
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_visibility/8,0,nan,nan,nan,nan,nan,0.003,0.100,0.139
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/bossbar_visibility/9,0,nan,nan,nan,nan,nan,0.003,0.108,0.140
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/check_minion_spawns,0,nan,nan,nan,nan,nan,0.003,0.044,0.060
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/core/copy,0,nan,nan,nan,nan,nan,0.003,0.058,0.085
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/core/death,0,nan,nan,nan,nan,nan,0.003,0.062,0.114
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/core/main,0,nan,nan,nan,nan,nan,0.003,0.126,0.199
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/core/reset,0,nan,nan,nan,nan,nan,0.003,0.285,0.504
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/core/setup,0,nan,nan,nan,nan,nan,0.003,0.150,0.269
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/core/start,0,nan,nan,nan,nan,nan,0.003,0.200,0.350
src\data\dnl\modules\entity\illusioner.bolt,dnl:entity/illusioner/death,0,nan,nan,nan,nan,nan,0.004,0.840,1.292
